Centre ID,Zonal IIT,Centre Name,City
6128,IIT Madras,J B Institute of Engineering & Technology,Hyderabad
6129,IIT Madras,Vidya Jyothi Institute of Technology,Hyderabad
6130,IIT Madras,Lords Institute of Engineering and Technology,Hyderabad
6131,IIT Madras,Nalla Narasimha Reddy Education Society’s Group of Institutions,Hyderabad
6132,IIT Madras,Vignan Institute of Technology & Science,Hyderabad
6133,IIT Madras,Sreyas Institute of Engineering and Technology Hyderabad,Hyderabad
6134,IIT Madras,Vignans Institute of Management and Technology for Women,Hyderabad
6135,IIT Madras,Vignana Bharathi Institute of Technology,Hyderabad
6136,IIT Madras,NMS Technology,Hyderabad
6137,IIT Madras,Samskruti College of Engineering and Technology,Hyderabad
6138,IIT Madras,Nalla Malla Reddy Engineering College,Hyderabad
6139,IIT Madras,Institute of Aeronautical Engineering,Hyderabad
6140,IIT Madras,MLR Institute of Technology,Hyderabad
6141,IIT Madras,Marri Laxman Reddy Institute of Technology & Management,Hyderabad
6142,IIT Madras,VNR Vignana Jyothi Institute of Engineering and Technology,Hyderabad
6143,IIT Madras,Chaitanya Deemed to be University,Hyderabad
6144,IIT Madras,Mahatma Gandhi Institute of Technology,Hyderabad
6145,IIT Madras,KPM Technologies & Solutions,Hyderabad
6146,IIT Madras,Pallavi Engineering College,Hyderabad
6147,IIT Madras,Hyderabad Institute of Technology and Manage- ment,Hyderabad
6148,IIT Madras,NodeCop Solutions,Hyderabad
6149,IIT Madras,C.M.R Technical Campus,Hyderabad
6150,IIT Madras,C.V.R College of Engineering,Hyderabad
6151,IIT Madras,Global Institute Of Engineering and Technology,Hyderabad
6152,IIT Madras,Scient Institute of Technology,Hyderabad
6153,IIT Madras,Surya Technologies,Hyderabad
6154,IIT Madras,Sreenidhi Institute of Science and Technology,Hyderabad
6155,IIT Madras,Sphoorthy Engineering College,Hyderabad
6156,IIT Madras,iON Digital Zone iDZ 1 Moula Ali,Hyderabad
6157,IIT Madras,iON Digital Zone IDZ Karmanghat,Hyderabad
6158,IIT Madras,iON Digital Zone iDZ Old Alwal,Hyderabad
6159,IIT Madras,iON Digital Zone iDZ Arunodaya Nagar,Hyderabad
6160,IIT Madras,iON Digital Zone IDZ 1 Mallapur,Hyderabad
6161,IIT Madras,iON Digital Zone iDZ LB Nagar,Hyderabad
6162,IIT Madras,iON Digital Zone iDZ 2 Moula Ali,Hyderabad
6163,IIT Madras,iON Digital Zone iDZ 2 Mallapur,Hyderabad
6164,IIT Madras,JNTUH COLLEGE OF ENGINEERING JAG- TIAL,Karimnagar
6165,IIT Madras,JNTUH College of Engineering Manthani,Karimnagar
6166,IIT Madras,Kamala Institute of Technology & Science,Karimnagar
6167,IIT Madras,iON Digital Zone iDZ Ramakrishna Colony,Karimnagar
6168,IIT Madras,Vaageswari College of Engineering,Karimnagar
6169,IIT Madras,Jyothishmathi Institute of Technology & Sciences,Karimnagar
6170,IIT Madras,Sree Chaitanya College of Engineering,Karimnagar
6171,IIT Madras,Swarna Bharathi Institute of Science & Technol- ogy,Khammam
6172,IIT Madras,Priyadarshini Institute Of Science & Technology for Women,Khammam
6173,IIT Madras,Sri Chaitanya Institute of Technology And Re- search,Khammam
6174,IIT Madras,Kavitha Memorial Degree College Khammam,Khammam
6175,IIT Madras,Vijaya Engineering College,Khammam
6176,IIT Madras,Bomma Institute of Technology and Science,Khammam
6177,IIT Madras,Daripally Anantha Ramulu College of Engineering & Technology,Khammam
6178,IIT Madras,Sana Engineering College,Kodad
6179,IIT Madras,Madhira Institute of Technology & Science,Kodad
6180,IIT Madras,Abdulkalam Institute Of Technological Sciences,Kothagudem
6181,IIT Madras,Jaya Prakash Narayan College of Engineering,Mahabubnagar
6182,IIT Madras,MS Ace Infotech Services,Mahabubnagar
6183,IIT Madras,Decibel Project Management Services,Nalgonda
6184,IIT Madras,Kshatriya College of Engineering,Nizamabad
6185,IIT Madras,AV ENTERPRISES,Nizamabad
6186,IIT Madras,Kakatiya Institute Of Technology & Science For Women,Nizamabad
6187,IIT Madras,Sai Spurthi Institute of Technology,Sathupally
6188,IIT Madras,Mother Teresa Institute of Science & Technology,Sathupally
6189,IIT Madras,Veritas and Virtus Engineering Services Pvt Ltd,Siddipet
6190,IIT Madras,Indur Institute of Engineering and Technology,Siddipet
6191,IIT Madras,Sri Venkateswara Engineering College,Suryapet
6192,IIT Madras,Vaagdevi College of Engineering,Warangal
6193,IIT Madras,Chaitanya Deemed to be University,Warangal
6194,IIT Madras,Jayamukhi Institute of Technological Sciences,Narsampet
6195,IIT Madras,iON Digital Zone iDZ Yerragattugutta,Warangal
6196,IIT Madras,Mokshith Computers,Hanamkonda
6197,IIT Madras,Balaji Institute of Technology and Science,Warangal
6198,IIT Madras,Nobel Technology and Solutions,Warangal
6199,IIT Madras,Vasishta Technologies,Warangal
